id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
13340,"Cartier
VERMEIL COLISÈE 925 Silver Diamond Watch","$2,400",Cartier,,,,,,Unknown,Very good,Women's watch,,
1025,"Longines
lady oro giallo 18kt vintag full set gold yellow plexiglas","$4,012",Longines,,,,,,1981 (Approximation),Unworn,Men's watch/Unisex,22 mm,
2642,"Seiko 5 Sports
Solid Boy Automatic Black Dial Silver Steel Mens Watch SRPE57K1",$294,Seiko,5 Sports,SRPE57K1,,,,2023 (Approximation),New,Men's watch/Unisex,40 mm,
13429,"Cartier Roadster
GMT XL W62032X6 2722 Steel Auto. Box/Papers/2YearWarranty#310-5","$6,495",Cartier,Roadster,W62032X6,Automatic,Steel,Steel,2015,Good,Men's watch/Unisex,49 x 43 mm,
16017,"Cartier Roadster
XL Chronograph Silver Dial Steel Mens Watch W62019X6","$6,250",Cartier,Roadster,W62019X6,Automatic,Steel,Steel,Unknown,Very good,Men's watch/Unisex,49 x 43 mm,
9877,"Audemars Piguet Royal Oak Chronograph
\"50th Anniversary\"","$65,000",Audemars Piguet,Royal Oak Chronograph,26240ST.OO.1320ST.02,,,,2022,New,Men's watch/Unisex,41 mm,
2211,"Omega
X Swatch Moonswatch Mission On Earth",Price on request,Omega,,,,,,Unknown,Unworn,,42 mm,
10275,"Audemars Piguet Royal Oak Offshore Chronograph
26470SO.OO.A002CA.01","$46,500",Audemars Piguet,Royal Oak Offshore Chronograph,26470SO.OO.A002CA.01,,,,2021 (Approximation),New,Men's watch/Unisex,42 mm,
14416,"Longines Master Collection
Automatic 18k Gold and Steel Mens Watch L2.628.5.11.7","$2,075",Longines,Master Collection,,Automatic,Gold/Steel,,Unknown,New,,39 mm,
6070,"Seiko GS
セイコー　グランドセイコー STGF287 4J52-0AC0","$1,908",Seiko,,,Quartz,Steel,Leather,Unknown,Very good,,26 mm,
11683,"Breitling
AB0611 ベントレー B06 クロノグラフ デイト 自動巻き メンズ 美品 箱付き_743834 中古","$5,567",Breitling,,AB0611,,,,Unknown,Good,Men's watch/Unisex,49 mm,
1552,"Breitling Navitimer World
A2432212/B726","$5,981",Breitling,Navitimer World,A2432212/B726,,,,2014,Good,Men's watch/Unisex,46 mm,
2269,"Seiko Superior
International Edition Superior Land Monster Auto SRP447K1 with 1 year warranty",$328,Seiko,Superior,SRP447K1,Automatic,Steel,Steel,2019 (Approximation),New,Men's watch/Unisex,45 mm,
9904,"Cartier Calibre de Cartier
W7100050","$8,000",Cartier,Calibre de Cartier,W7100050,Automatic,Gold/Steel,Gold/Steel,Unknown,Very good,Men's watch/Unisex,42 mm,
15131,"Longines Flagship
L4.774.4 Diamonds Date Stainless Steel 35MM Unisex Automatic","$1,095",Longines,Flagship,L4.774.4.57.6,,,,Unknown,Very good,Men's watch/Unisex,35 mm,
9563,"IWC Big Pilot
Pilot's Perpetual Calendar Edition \"Rodeo Drive\" IW503001 Watch Box Papers","$28,999",IWC,Big Pilot,IW503001,Automatic,Titanium,Leather,2020,Very good,Men's watch/Unisex,46.5 mm,
