id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition,price_double
27660,"Omega
168.015 コンステレーション 自動巻き メンズ 750755 中古",$679,Omega,N/A,168.015,N/A,N/A,N/A,Unknown,Fair,Men's watch/Unisex,34 mm,N/A,679.0
7108,"TAG Heuer Formula 1 Quartz
Ref. CAZ1010.BA0842 Black Dial Grey Steel Bracelet","$1,725",TAG Heuer,Formula 1 Quartz,CAZ1010.BA0842,N/A,N/A,N/A,Unknown,New,Men's watch/Unisex,43 x 39 mm,N/A,1725.0
12924,N/A,"$4,486",Rolex,Lady-Datejust,69173,N/A,N/A,N/A,1984,N/A,N/A,26 mm,Very good,4486.0
13729,"Breitling Navitimer 8
43MM AB0117131B1A1 STAINLESS STEEL MEN'S WATCH","$5,489",Breitling,Navitimer 8,AB0117131B1A1,Automatic,Steel,N/A,Unknown,New,Men's watch/Unisex,43 mm,N/A,5489.0
4127,"IWC
Pilot's Watch Mark XVIII Top Gun SFTI IW324712","$5,782",IWC,N/A,IW324712,N/A,N/A,N/A,2022 (Approximation),Very good,Men's watch/Unisex,41 mm,N/A,5782.0
4429,"Audemars Piguet Royal Oak Offshore Diver
15703ST.OO.A002CA.01","$19,353",Audemars Piguet,Royal Oak Offshore Diver,15703ST.OO.A002CA.01,Automatic,Steel,Rubber,2010 (Approximation),Very good,Men's watch/Unisex,42 mm,N/A,19353.0
23623,"Omega Seamaster Planet Ocean
232.30.46.21.01.003","$4,817",Omega,Seamaster Planet Ocean,232.30.46.21.01.003,N/A,N/A,N/A,2013,Very good,Men's watch/Unisex,45.5 mm,N/A,4817.0
18924,"Omega De Ville
crono manuale gold 18Kt","$7,867",Omega,De Ville,N/A,N/A,N/A,N/A,Unknown,New,Men's watch/Unisex,N/A,N/A,7867.0
5534,"Zenith Defy El Primero
Open Defy Classic Stahl/Gold 86.0526.4021","$8,028",Zenith,Defy El Primero,86.0526.4021,N/A,N/A,N/A,Unknown,Very good,Men's watch/Unisex,46 mm,N/A,8028.0
7770,"Omega Constellation
123.20.35.20.02.004","$2,295",Omega,Constellation,123.20.35.20.02.004,Automatic,Gold/Steel,Steel,2017,Good,Men's watch/Unisex,35 mm,N/A,2295.0
