id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
3790,"Zenith
Grand Prix Paris 1900",$575,Zenith,,,,,,1900 (Approximation),Good,,49 mm,
12000,"Omega Constellation Ladies
Co-axial watch 123.55.27.20.05.004","$15,659",Omega,Constellation Ladies,123.55.27.20.05.004,,,,Unknown,New,Women's watch,,
2650,,"$27,404",Rolex,Sky-Dweller,326934,,Steel,Steel,2021,,,42 mm,Unworn
12042,"Omega Speedmaster Professional Moonwatch
Meteorite","$17,330",Omega,Speedmaster Professional Moonwatch,311.63.44.51.99.001,Automatic,Ceramic,Leather,2023,New,Men's watch/Unisex,,
38074,,"$10,999",Rolex,Datejust 36,116200,,,,Unknown,,,36 mm,Very good
6139,"Seiko Selection
SSDY020 Solar wave correction watch",$348,Seiko,Selection,,,,,Unknown,New,,,
5827,"Seiko Chronograph
SSC213P1 Solar Chronograph Blue Dial Men's watch",$165,Seiko,Chronograph,,,,,2010 (Approximation),New,Men's watch/Unisex,,
976,"Breitling
V13375101C1X1 Super Avanger Night Mission Watch","$5,233",Breitling,,V13375101C1X1,,,,2020,New,Men's watch/Unisex,48 mm,
6197,"Breitling Superocean Heritage II 46
2 46mm Stainless Steel Black dial","$3,133",Breitling,Superocean Heritage II 46,AB2020121B1A1,Automatic,Steel,Steel,Unknown,Very good,Men's watch/Unisex,46 mm,
11117,"Hublot Classic Fusion Racing Grey
521.NX.7071.RX Titanium with Black Rubber Watch","$8,850",Hublot,Classic Fusion Racing Grey,521.NX.7071.RX,Automatic,Titanium,Rubber,Unknown,Unworn,Men's watch/Unisex,45 mm,
4268,"Panerai Radiomir Black Seal
PAM 00292","$4,555",Panerai,Radiomir Black Seal,PAM 00292,,,,2008 (Approximation),Good,Men's watch/Unisex,45 mm,
3838,"Cartier Roadster
Roulette Red Green Dial \"Extra Leather Strap & Folding Buckle\" Full Set 2002'S","$3,149",Cartier,Roadster,W62002V3,Automatic,Steel,Steel,2002,Very good,Men's watch/Unisex,38 x 43 mm,
7403,"Panerai Luminor Submersible
QuarantaQuattro Esteel Grigio Roccia Grey Dial Pam1288","$7,795",Panerai,Luminor Submersible,PAM 01288,,,,2022,Very good,Men's watch/Unisex,44 mm,
4108,"Tudor 1926
91450-0005","$1,508",Tudor,1926,91450-0005,,,,2018,Very good,Men's watch/Unisex,36 mm,
45090,,"$10,895",Rolex,Datejust 41,126300,,,,2023,,,41 x 48 mm,New
17479,,"$17,806",Rolex,Yacht-Master 37,268621,,,,2018,,,37 mm,Very good
13736,,"$49,655",Rolex,Daytona,116518,,Yellow gold,Leather,Unknown,,,40 mm,Unworn
13654,"Seiko
5 sports SRPD65K1",$345,Seiko,,SRPD65K1,,,,2022,Unworn,Men's watch/Unisex,42.5 mm,
5249,"Audemars Piguet
Vintage 4010 Tropical Spider dial","$4,304",Audemars Piguet,,,,,,1950 (Approximation),Good,Men's watch/Unisex,34 x 35 mm,
3104,"Seiko Scuba
[N MINT] SEIKO SBDA005 7S25-00D0 SCUBA SAMURAI TITANIUM Men Watch JAPAN W763 JDM",$949,Seiko,,,Automatic,Titanium,Rubber,Unknown,Very good,Men's watch/Unisex,45 mm,
66805,,"$16,928",Rolex,Yacht-Master 37,268622,,Steel,Steel,2019,,,37 mm,Very good
39808,,"$41,799",Rolex,Day-Date 36,118348,,Yellow gold,Yellow gold,2010 (Approximation),,,36 mm,Unworn
19707,,"$4,961",Rolex,Air King,5500,,,,1975,,,34 mm,Good
21306,,"$13,606",Rolex,Datejust II,116300,,,,2016,,,41 mm,Good
1748,"Cartier
Maillon Small Model","$124,593",Cartier,,WJBJ0004,,,,2023,Unworn,Women's watch,16 x 17 mm,
38616,"Omega Seamaster Planet Ocean
600M Ceragold Watch 232.63.64.21.01.001","$18,250",Omega,Seamaster Planet Ocean,,Automatic,,,Unknown,Good,Men's watch/Unisex,45.5 mm,
15201,,"$8,972",Rolex,Oyster Perpetual 31,277200,,Steel,Steel,2022,,,31 mm,New
8132,"Tudor Black Bay Fifty-Eight
Stainless Steel 200m M79030N","$4,995",Tudor,Black Bay Fifty-Eight,M79030N,,,,2021,Unworn,Men's watch/Unisex,39 mm,
3154,"Omega De Ville Prestige
Butterfly","$9,441",Omega,De Ville Prestige,424.25.27.60.52.001,,,,2021,New,Women's watch,27.4 mm,
13896,"Breitling Chronomat 41
AB014012","$5,750",Breitling,Chronomat 41,AB014012,,,,2012,New,Men's watch/Unisex,41 mm,
11082,"Audemars Piguet Royal Oak Offshore
26365OR.OO.D801CR.01","$86,900",Audemars Piguet,Royal Oak Offshore,26365OR.OO.D801CR.01,,,,2012,Very good,Men's watch/Unisex,42 mm,
10910,"Omega
Swiss","$3,249",Omega,,,,,,1943,Very good,,35 mm,
9976,"Cartier Tank
Must De Cartier","$3,562",Cartier,Tank,WSTA0052,Quartz,Steel,Steel,2022,Very good,Men's watch/Unisex,33.7 x 25.5 mm,
11013,"Cartier Ballon Bleu 33mm
カルティエ Cartier バロンブルー 33mmW6920097","$14,699",Cartier,Ballon Bleu 33mm,W6920097,Automatic,Rose gold,,Unknown,Unworn,Women's watch,33 mm,
