id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition,price_double
46127,N/A,"$45,825",Rolex,Day-Date 40,228238,N/A,Yellow gold,Yellow gold,2022 (Approximation),N/A,N/A,40 mm,Unworn,45825.0
22767,N/A,"$13,541",Rolex,Explorer II,216570,N/A,Steel,Steel,2014,N/A,N/A,42 mm,Unworn,13541.0
2199,"IWC Portuguese Chronograph
Portugieser Chronograph","$9,093",IWC,Portuguese Chronograph,IW371616,N/A,N/A,N/A,2023,New,Men's watch/Unisex,41 mm,N/A,9093.0
380,"Sinn 6000
Handelsblatt Sonderedition 50/50 Finanzplatz Frankfurt","$3,492",Sinn,6000,6000,N/A,N/A,N/A,2015 (Approximation),Very good,Men's watch/Unisex,"38,5 x 15,5 mm",N/A,3492.0
66205,N/A,"$18,869",Rolex,GMT-Master II,16710T,N/A,N/A,N/A,2006,N/A,N/A,40 mm,Very good,18869.0
3812,"Omega Seamaster Planet Ocean
600 M Co-axial Master Chronometer","$21,828",Omega,Seamaster Planet Ocean,215.98.40.20.01.001,Automatic,Ceramic,Leather,2023,New,N/A,N/A,N/A,21828.0
2365,"Panerai Mare Nostrum
115664 パネライ マーレ ノストゥルム アッチャイオ 世界限定1000本 PAM00716 ブルーダイヤル SS/レザー 手巻き ギャランティーカード 純正ボックス","$6,726",Panerai,Mare Nostrum,PAM00716,Manual winding,N/A,N/A,Unknown,Very good,Men's watch/Unisex,42 mm,N/A,6726.0
7280,"Panerai Luminor Marina
Pam01662 44","$13,475",Panerai,Luminor Marina,PAM 01662,N/A,N/A,N/A,2022,New,Men's watch/Unisex,44 mm,N/A,13475.0
1146,"Breitling Superocean 42
Automatic 42","$6,154",Breitling,Superocean 42,N17375201L1S1,Automatic,Bronze,Rubber,2023,New,Men's watch/Unisex,42 mm,N/A,6154.0
9770,"TAG Heuer 2000
WK1110",$390,TAG Heuer,2000,WK1110,N/A,N/A,N/A,1999 (Approximation),Very good,Men's watch/Unisex,37 mm,N/A,390.0
14453,"Breitling Avenger
E73360","$2,700",Breitling,Avenger,E73360,N/A,N/A,N/A,2002 (Approximation),Good,Men's watch/Unisex,44 mm,N/A,2700.0
12759,"Audemars Piguet Royal Oak Offshore Chronograph
NEW Royal Oak Offshore Chronograph","$48,900",Audemars Piguet,Royal Oak Offshore Chronograph,26238TI.OO.2000TI.01,N/A,N/A,N/A,2022 (Approximation),New,Men's watch/Unisex,42 mm,N/A,48900.0
37498,"Omega Speedmaster Professional Moonwatch
Chronograph \"TINTIN\" Racing Dial Full Set","$16,900",Omega,Speedmaster Professional Moonwatch,311.30.42.30.01.004,N/A,N/A,N/A,2015,Very good,Men's watch/Unisex,42 mm,N/A,16900.0
7385,"TAG Heuer Formula 1 Quartz
CAZ1010.BA0842",$975,TAG Heuer,Formula 1 Quartz,CAZ1010.BA0842,N/A,N/A,N/A,2019,Good,Men's watch/Unisex,43 mm,N/A,975.0
8803,"Cartier
Vermeil Gold 925 Silver Ladies 24 mm Box Papers Ref 590002","$1,337",Cartier,N/A,590002,N/A,N/A,N/A,1996,Very good,Women's watch,24 mm,N/A,1337.0
